nombre,ciudad,provincia,telefono,email,instagram,web,fuente,lat,lon,fecha
Peluqueria Raquel,Torrent,Comunitat Valenciana,,,,,osm,39.434208,-0.474234,2026-05-18
Peluqueria Elena,Torrent,Comunitat Valenciana,,,,,osm,39.438259,-0.464274,2026-05-18
Peluquería Maica,Torrent,Comunitat Valenciana,,,,,osm,39.433376,-0.478365,2026-05-18
Peluqueria Mar,Torrent,Comunitat Valenciana,,,,,osm,39.43647,-0.465182,2026-05-18
Perruqueria Mª Jose,Torrent,Comunitat Valenciana,,,,,osm,39.4349187,-0.4702846,2026-05-18
Peluquería Mª José Vieira,Torrent,Comunitat Valenciana,,,,,osm,39.433147,-0.477032,2026-05-18
Peluquería Lute,Torrent,Comunitat Valenciana,,,,,osm,39.433002,-0.46849,2026-05-18
Peluqueria Mª Carmen Carpio,Torrent,Comunitat Valenciana,,,,,osm,39.431499,-0.468092,2026-05-18
Peluqueria Hnos Moreno,Torrent,Comunitat Valenciana,,,,,osm,39.4342093,-0.4736175,2026-05-18
Peluqueria Juan,Torrent,Comunitat Valenciana,,,,,osm,39.435444,-0.469283,2026-05-18
Peluquería Fina,Torrent,Comunitat Valenciana,,,,,osm,39.4371943,-0.4663961,2026-05-18
Peluqueria Glamour,Torrent,Comunitat Valenciana,,,,,osm,39.4326281,-0.4694143,2026-05-18
Peluquería Emilio,Torrent,Comunitat Valenciana,,,,,osm,39.4344529,-0.4726462,2026-05-18
Peluqueria Carug,Torrent,Comunitat Valenciana,,,,,osm,39.42915,-0.477786,2026-05-18
Peluqueria Chelo Téllez,Torrent,Comunitat Valenciana,,,,,osm,39.436214,-0.468123,2026-05-18
Peluqueria Toni,Torrent,Comunitat Valenciana,,,,,osm,39.4298847,-0.4764712,2026-05-18
Perruquería Bucles,Torrent,Comunitat Valenciana,,,,,osm,39.432487,-0.477392,2026-05-18
Peluquería Academia Raquel Corchero,Torrent,Comunitat Valenciana,,,,,osm,39.433399,-0.477537,2026-05-18
Peluquería Amparo Madramany,Torrent,Comunitat Valenciana,,,,,osm,39.43745,-0.467098,2026-05-18
Mandreu Peluqueria,Torrent,Comunitat Valenciana,,,,,osm,39.42643,-0.483357,2026-05-18
Marga Garcia Peluqueras,Torrent,Comunitat Valenciana,,,,,osm,39.436734,-0.4632814,2026-05-18
Lola Peluquera,Torrent,Comunitat Valenciana,,,,,osm,39.433945,-0.465448,2026-05-18
Lucia Peluqueras,Torrent,Comunitat Valenciana,,,,,osm,39.430104,-0.4730241,2026-05-18
Javi Moreno Peluqueros,Torrent,Comunitat Valenciana,,,,,osm,39.4305507,-0.4791553,2026-05-18
Peluqueria Juan Baena,Torrent,Comunitat Valenciana,,,,,osm,39.440918,-0.462537,2026-05-18
Chiqui Peluqueros,Torrent,Comunitat Valenciana,,,,,osm,39.4332459,-0.4726248,2026-05-18
Evaristo Peluqueros Barberos,Torrent,Comunitat Valenciana,,,,,osm,39.433079,-0.474401,2026-05-18
Boro Peluqueros,Torrent,Comunitat Valenciana,,,,,osm,39.433956,-0.470396,2026-05-18
Area Estilo Peluqueria Unisex,Torrent,Comunitat Valenciana,,,,,osm,39.430801,-0.469188,2026-05-18
Unisex Cortes,Torrent,Comunitat Valenciana,,,,,osm,39.4339493,-0.4652923,2026-05-18
Tu-pelo,Torrent,Comunitat Valenciana,,,,,osm,39.4343404,-0.4737343,2026-05-18
Sty'l Rosa,Torrent,Comunitat Valenciana,,,,,osm,39.4344121,-0.4726024,2026-05-18
Ruben Garcia Peluqueros,Torrent,Comunitat Valenciana,,,,,osm,39.4343444,-0.4669342,2026-05-18
Puig Peluqueros,Torrent,Comunitat Valenciana,,,,,osm,39.4376581,-0.468458,2026-05-18
Carmen Murcia,Torrent,Comunitat Valenciana,,,,,osm,39.429314,-0.475368,2026-05-18
Salon Model's,Torrent,Comunitat Valenciana,,,,,osm,39.4391223,-0.4597989,2026-05-18
Roberto Peluqueros,Torrent,Comunitat Valenciana,,,,,osm,39.436302,-0.470268,2026-05-18
Peluquería Amorós,Benidorm,Comunitat Valenciana,,,,,osm,38.545717,-0.1327936,2026-05-18
BB,Sestao,Euskadi,,,,,osm,43.2963722,-2.9885856,2026-05-18
Pedro Montero,Sestao,Euskadi,,,,,osm,43.2977954,-2.985203,2026-05-18
Xisca,Manacor,Illes Balears,,,,,osm,39.5645757,3.207192,2026-05-18
Ana Peluqueria Unisex,Cantavieja,Aragón,,,,,osm,40.5255931,-0.4052596,2026-05-18
Peluquería Cala,Sabiñánigo,Aragón,,,,,osm,42.5198777,-0.3692741,2026-05-18
Peluquería Lys,Sabiñánigo,Aragón,,,,,osm,42.5207359,-0.3715063,2026-05-18
Makai,Bilbao,Euskadi,,,,,osm,43.2590922,-2.937728,2026-05-18
Piules,Manacor,Illes Balears,,,,,osm,39.5690922,3.2165744,2026-05-18
Corroto,Aldaia,Comunitat Valenciana,,,,,osm,39.4623938,-0.4624047,2026-05-18
KR,Adeje,Canarias,,,,,osm,28.077159,-16.7314455,2026-05-18
La Saga,Aldaia,Comunitat Valenciana,,,,,osm,39.4658588,-0.4602594,2026-05-18
Noelia Azorin Estilista,Alicante,Alicante,+34965260296,,,,osm,38.3636971,-0.432859,2026-05-18
Look Berria,Abanto y Ciérvana-Abanto Zierbena,Euskadi,,,,,osm,43.3184152,-3.0726823,2026-05-18
BLB,Abanto y Ciérvana-Abanto Zierbena,Euskadi,,,,,osm,43.3182805,-3.0729259,2026-05-18
Damas,Sestao,Euskadi,,,,,osm,43.3006514,-2.9898529,2026-05-18
Liuwa,Sestao,Euskadi,,,,,osm,43.2961722,-2.9913568,2026-05-18
H.F.A.,Sestao,Euskadi,,,,,osm,43.2963781,-2.9915471,2026-05-18
Silher,Sestao,Euskadi,,,,,osm,43.2984209,-2.9930042,2026-05-18
Bella Bilbao,Bilbao,Vizcaya,,,,,osm,43.2635116,-2.9228406,2026-05-18
Claramunt,Pamplona / Iruña,Navarra,,,,,osm,42.8036145,-1.6792401,2026-05-18
Inma García,Pamplona / Iruña,Navarra,,,,,osm,42.8025525,-1.6788394,2026-05-18
Ana Aldunate,Pamplona / Iruña,Navarra,,,,,osm,42.8030254,-1.6790942,2026-05-18
Ilaia ileapaindegia,Antzuola,Euskadi,,,,,osm,43.0985346,-2.3818568,2026-05-18
Novo Look,Celanova,Galicia,,,,,osm,42.1498021,-7.9579722,2026-05-18
AG Peluqueras,Pamplona / Iruña,Navarra,,,,,osm,42.8012984,-1.6471209,2026-05-18
Galdana,Granollers,Catalunya,,,,,osm,41.6287981,2.2968661,2026-05-18
Nueva Gente Actual,Huesca/Uesca,Aragón,,,,,osm,42.1380941,-0.4180971,2026-05-18
Toñy,Alcúdia,Illes Balears,,,,,osm,39.8530439,3.1247124,2026-05-18
Peluquería Frántony,Alcalá de Henares,Madrid,,,,,osm,40.4882534,-3.3635588,2026-05-18
